time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.00846043209e-06,1.02921483306e-05,10.0026700066,0.00244056609835,0.000657839196677,0.0,-0.000125186426555,0.000606481978566,0.0889964832659,-0.0183553744564,0.00776557535177,0.0,432.89052571441397,433.543319786609,434.34299811633764,432.8012222473615
0.12000000000000001,-2.56891617357e-05,9.52623975032e-05,10.012014729,0.00133594159077,0.00111243797794,0.0,-0.000714372350982,0.00211003332074,0.222477115926,-0.0205771527969,0.00628336053104,0.0,447.72418161796406,447.60348226147073,447.25525277730475,447.0743435963595
0.18,-0.000102719374212,0.000298075194587,10.0296633226,0.0122308648961,0.00375331980297,0.0,-0.0021229677194,0.005874534734,0.365766891791,-0.0599478130173,0.0216092617587,0.0,448.96416738588647,450.2056014238703,453.0001055466859,449.82305964815833
0.23999999999999996,-0.000313435340062,0.000898395352802,10.0547997635,0.0101401749771,0.00509037893967,0.0,-0.00503704727503,0.0139356610912,0.47207764963,-0.074645697129,0.0229192799555,0.0,438.47245950087716,438.5812856257038,440.2286055430262,439.00777173271473
0.3,-0.00075321803479,0.00196503397455,10.090009063,0.00620888087601,0.00807139862349,0.0,-0.00996754606631,0.0211330630333,0.70145500729,-0.0676525545034,0.0356527142008,0.0,476.289799639571,477.2626441699352,475.88752658449715,476.41876957265305
0.36000000000000004,-0.00149577124511,0.00336074797728,10.1312607782,0.0130741278004,0.0107213381187,0.0,-0.0150121288196,0.0259929293555,0.673611894079,-0.105079690028,0.026532095576,0.0,394.5448736769276,393.7025792989149,397.17856727182993,393.7252996122911
0.4200000000000001,-0.00266468074823,0.0052088718613,10.1782515936,0.00675769336976,0.0124873604648,0.0,-0.0241682920556,0.0348549439714,0.89260890971,-0.106072386895,0.0206063415278,0.0,474.52452975557196,474.0695358123988,473.10027771969135,473.01486757574423
0.48000000000000015,-0.00440011561331,0.00742535002588,10.23653715,0.00041608015144,0.0138034704817,0.0,-0.0338283408784,0.0383295502007,1.05011256818,-0.109314949877,0.0160884965027,0.0,455.30327869160584,454.9416748592173,456.25780859613667,455.98912440758477
0.5400000000000001,-0.00674447269048,0.0097135581121,10.3043798273,6.27836668565,0.0148181904017,0.0,-0.0444257484794,0.0373783833153,1.2111508089,-0.123178432105,0.0176031025261,0.0,457.2755999768288,457.39613001159364,457.2072877810839,456.09032837383603
0.6000000000000002,-0.00972290193489,0.0118288392154,10.3800948326,6.27109015989,0.0165129298371,0.0,-0.0550190448235,0.0323931017251,1.31256368778,-0.128270723333,0.0252385605201,0.0,438.63369816580325,439.2672526795127,438.9737039343158,438.5365722431656
0.6600000000000003,-0.0133775542595,0.0134890402084,10.462201609,6.26351447392,0.0182315012031,0.0,-0.0669748019921,0.0221684032179,1.42418185317,-0.133460176373,0.0291326775957,0.0,442.8939942451966,443.21428241885627,441.8502611806491,441.40665541684393
0.7200000000000003,-0.0178136077692,0.0143549750834,10.5519849359,6.25569465802,0.0219990153503,0.0,-0.0813174780107,0.00585817985635,1.56838140173,-0.139557747986,0.012318916314,0.0,453.2491252483123,451.8960101977105,453.2722404178478,452.7654078310797
0.7800000000000004,-0.0231586460408,0.0141043243785,10.649343612,6.24893564804,0.0232802488752,0.0,-0.0969892405662,-0.0149193353045,1.67672976411,-0.126788078136,0.00296467353033,0.0,442.3083966150299,441.53729499112296,441.78905937182105,442.8236238097665
0.8400000000000004,-0.0294208901286,0.0125369336667,10.7512363119,6.24256704314,0.0237217752503,0.0,-0.11178810287,-0.0379305090247,1.71960559757,-0.115738031119,0.00751601019533,0.0,421.27667933572513,421.6699310936241,420.8599731796933,421.80059904501866
0.9000000000000005,-0.0365793900299,0.00949186102247,10.855130393,6.23588208226,0.028355688043,0.0,-0.12722935003,-0.0641699234276,1.74345595536,-0.12264496991,0.0287524278123,0.0,414.2440417771467,416.1071114883899,415.69045550953854,415.0712056090389
0.9600000000000005,-0.0449240588708,0.00444819064188,10.9666365741,6.22894363548,0.0314678478276,0.0,-0.151279162612,-0.10476408875,1.97299343966,-0.131048014267,0.0405092040464,0.0,478.9337296101754,479.8273566908101,479.9559952217498,479.30479556608293
1.0200000000000005,-0.0546431611344,-0.00289266202056,11.0867378897,6.22768582074,0.0405404065112,0.0,-0.173530965224,-0.140015126997,2.03024362809,-0.16042782932,0.0675663355828,0.0,425.588967465658,427.90014108452937,429.3855099290455,426.8665262633808
1.0800000000000005,-0.0659890215077,-0.0125409205611,11.2126692698,6.21848283877,0.0531398790111,0.0,-0.205976508523,-0.182570518072,2.16709251931,-0.154406348856,0.0984111357152,0.0,451.2948707174643,453.7823487282365,453.2989653770339,453.7593177276298
1.1400000000000006,-0.0794875337212,-0.0248843117635,11.3459814795,6.21043290785,0.0590806542981,0.0,-0.244576597406,-0.229702303947,2.27633365423,-0.143475727493,0.0996134971122,0.0,445.20121496222197,445.3079506781109,444.8013637634076,445.6742510793511
1.2000000000000006,-0.0955310737879,-0.0402715157982,11.4867137341,6.20703080672,0.0781237157561,0.0,-0.292203164702,-0.28356482721,2.41428076668,-0.119652335834,0.138028311834,0.0,454.11676614784403,457.19865834344324,453.167164077497,455.0615032834555
1.2600000000000007,-0.114672949681,-0.0588424112393,11.6339722697,6.20015559261,0.0873970401179,0.0,-0.346756059992,-0.336130884915,2.49401615432,-0.114695754879,0.147801766691,0.0,436.2535148084261,437.08776696554924,438.3158471185486,438.7148605511138
